ID;GL_ITEM;GL_ITEM_NAME;BalanceInSQL;BalanceInPL;Difference;BalanceDate
258;5500;Commission payable;-16561,45;-16561,45;0;2014-01-22 00:00:00.000
259;6000;Wages and salaries;-236060,87;-236060,87;0;2014-01-22 00:00:00.000
260;6100;Social contributions;-38567,75;-38567,75;0;2014-01-22 00:00:00.000
261;6150;Other personnel expenses;-9113,18;-9113,18;0;2014-01-22 00:00:00.000
262;6400;Depreciation of intangible and tangible assets;0;0;0;2014-01-22 00:00:00.000
263;6500;Room  maintenance costs and rental fees;-49922,94;-49922,94;0;2014-01-22 00:00:00.000
264;6600;Office operating costs;-24454,83;-24454,83;0;2014-01-22 00:00:00.000
265;6700;Administrative expenses;-34736,38;-34736,38;0;2014-01-22 00:00:00.000
266;6870;Security expenses;0;0;0;2014-01-22 00:00:00.000
267;6900;Taxes on income and profit;-575678,11;-575678,11;0;2014-01-22 00:00:00.000
268;6950;Other taxes;-8030,21;-8030,21;0;2014-01-22 00:00:00.000
269;7010;Interest income banks;1312804,04;1313159,63;-355,59;2014-01-22 00:00:00.000
270;7100;Interest income non-banks;906596,79;906596,79;0;2014-01-22 00:00:00.000
271;7210;Interest income floating rate securities;2875,27;2875,27;0;2014-01-22 00:00:00.000
272;7300;Interest-related income;152649,39;152649,39;0;2014-01-22 00:00:00.000
273;7500;Commission income documentary business;19040,64;19040,64;0;2014-01-22 00:00:00.000
274;7600;Commission income payments;104866,66;104822,46;44,2;2014-01-22 00:00:00.000
275;7650;Other commission incomes;290,06;290,06;0;2014-01-22 00:00:00.000
276;7700;Other operating income;741,99;741,99;0;2014-01-22 00:00:00.000
277;7850;Foreign exchange income;1190742,58;1190742,58;0;2014-01-22 00:00:00.000
278;7870;Securities income;0;0;0;2014-01-22 00:00:00.000
279;10;Cash box;-732,06;-732,06;0;2014-01-22 00:00:00.000
280;2500;Intangible assets;-135436,02;-135436,02;0;2014-01-22 00:00:00.000
281;2600;Fixed assets;-128381,1;-128381,1;0;2014-01-22 00:00:00.000
282;2850;Accrued income;-69990,28;-69990,28;0;2014-01-22 00:00:00.000
283;4110;Other liabilities;3779216,06;3779216,06;0;2014-01-22 00:00:00.000
284;4200;Deferred income;118606,85;118606,85;0;2014-01-22 00:00:00.000
285;4300;Provisions - taxes;817773,12;817773,12;0;2014-01-22 00:00:00.000
286;4350;Provisions - other;441678,71;441678,71;0;2014-01-22 00:00:00.000
287;5010;Interest payable banks;-1752310,61;-1752310,23;-0,38;2014-01-23 00:00:00.000
288;5100;Interest payable non-banks;-142574,12;-142574,12;0;2014-01-23 00:00:00.000
