ID;LineNr;CCB_Category;Blank1;AccountingCode;Source_account;Eight_digit_Number;Account_name;Level_3_Account_Code_COA_natural_account_code;Level_3_Account_Name;Account_change_status;PBC_No;blank;Amount_In_Management_Statement
5934;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13050;13050313;其他进口贸易融资贷款 Other import trade finance loan ;121063;单位客户其他进口贸易融资贷款 Other import trade finance loan- Company;1111新增 Added;NULL;NULL;0
5935;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13060;13060316;出口订单融资 Export purchase order financing;121064;单位客户出口订单融资 Export purchase order financing- Company;NULL;NULL;NULL;0
5936;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13069;13069309;出口托收贷款 Outward  bills purchased (Non-letter of credit);121065;单位客户非信用证项下付款交单出口托收 D/P Outward bills purchased under non-L/C- Company;NULL;NULL;NULL;0
5937;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13069;13069310;出口托收承兑交单买入 Outward D/A bills pur (NLC);121066;单位客户非信用证项下承兑交单出口托收 D/A Outward bills purchased under non-L/C- Company;1512新增 Added;NULL;NULL;0
5938;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13084;13084302;保证项下信用证议付贷款 Export letter of credit negotiation under letter of guarantee;121067;单位客户保证项下信用证议付贷款 Export L/C negotiation under letter of guarantee- Company;NULL;NULL;NULL;0
5939;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13099;13099317;赊销贸易融资 Open account financing;121071;单位客户赊销贸易融资 Open accounting financing- Company;NULL;NULL;NULL;0
5940;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13102;13102310;出口托收贴息 Disc – Outward D/A bills disc (NLC);121072;单位客户非信用证项下承兑交单出口托收贴息 Interest subsidy- D/A Outward bills purchased under non-L/C- Company;NULL;NULL;NULL;0
5941;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13105;13105365;出口信用证项下承兑应计贷款 Outward bills acceptance accrual loan under L/C;121074;单位客户出口信用证项下承兑应计贷款 Outward bills acceptance accrual loan under L/C- Company;1112新增 Added;NULL;NULL;0
5942;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13112;13112304;出口押汇款项折价 Discounted export L/C bill advance;121075;单位客户出口押汇款项折价 Discount- Export L/C bill advance- Company;131030新增 Added;NULL;NULL;0
5943;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13113;13113325;票据保付贴现 Outward Discount against avalisation;121076;单位客户票据保付贴现 Outward Discount against avalisation;NULL;NULL;NULL;0
5944;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13191;13191314;其他出口贸易融资贷款 Other export trade finance loan;121078;单位客户其他出口贸易融资贷款 Other export trade finance loan- Company;1111新增 Added;NULL;NULL;0
5945;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13195;13195305;福费廷折价 Discounted forfaiting loan;121081;单位客户福费廷折价 Discount- Forfaiting- Company;131030新增 Added;NULL;NULL;0
5946;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13196;13196320;出口商业发票融资折溢价 Premium/Dis- Export invoice financing;121082;单位客户出口商业发票融资折溢价 Premium/Discount- Export invoice financing- Company;1406新增 Added;NULL;NULL;0
5947;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13014;13014322;境外海外代付 Off shore Refinancing;121083;单位客户离岸海外代付 Refinancing (off shore)- Company;NULL;NULL;NULL;0
5948;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13004;13004363;信用证项下信托收据贷款 Loan against trust receipt(Letter of credit);121086;单位客户信用证项下信托收据贷款 Loan against trust receipt under L/C- Company;NULL;NULL;NULL;0
5949;08;发放贷款和垫款 Granting loans and advances;NULL;NULL;13004;13004364;非信用证项下信托收据贷款 Loan against trust receipt(Non-Letter of credit);121087;单位客户非信用证项下信托收据贷款 Loan against trust receipt under non-L/C- Company;1512新增 Added;NULL;NULL;0
