ID	ClientType	BusinessType	Contract Type	ProductType	ClientNr	ContractClear	Counterparty/Issuer	StartDate	Next Event	Final Matu	Type	CURRENCY	Principal Amount/Value Balance(EUR Equ)	InterestRate	DaysToEventDate	MonthsToEventDate	MonthsToStartDate	YearsToStartDate	DaysToMaturity	DaysToMaturityFromStartDate	MonthsToMaturityFromStartDate	YearsToMaturityFromStartDate	RESTLAUFZEIT	EVENT	ProlongationNr	InterestEventCalc	InterestType	TOTAL_INTEREST	Year1_Interest	Year2_Interest	Year3_Interest	Year4_Interest	Year5_Interest
387	BANK	PREFINANCINGS	CLDD	FTBRDD	67821003	6,7811E+14	CCB JILIN BRANCH	2016-12-05 00:00:00.000	2017-03-03 00:00:00.000	2017-03-03 00:00:00.000	Assets	USD	-103471,5	1,74167	62	3	0	0	62	88	3	1	3	LIVE DATA	0	3M USD LIBOR	V	310,37	310,37	0	0	0	0
388	BANK	FORFAITING + FACTORING IC	CLDL	FORFTIB	67820063	6,7811E+14	CCB SHENZHEN	2016-12-06 00:00:00.000	2017-03-06 00:00:00.000	2017-03-06 00:00:00.000	Assets	USD	-1214572,12	1,94639	65	3	0	0	65	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	4268,39	4268,39	0	0	0	0
389	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67820285	6,7825E+14	ING BANK NV HONG KONG BRANCH	2016-11-30 00:00:00.000	2017-02-23 00:00:00.000	2017-02-23 00:00:00.000	Liabilities	USD	2973920,27	1,23511	54	2	0	0	54	85	3	1	2	LIVE DATA	0	3M USD LIBOR	V	-5509,68	-5509,68	0	0	0	0
390	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67820285	6,7825E+14	ING BANK NV HONG KONG BRANCH	2016-12-13 00:00:00.000	2017-02-28 00:00:00.000	2017-02-28 00:00:00.000	Liabilities	USD	5491983,15	1,2565	59	2	0	0	59	77	2	1	2	LIVE DATA	0	3M USD LIBOR	V	-11309,44	-11309,44	0	0	0	0
391	BANK	BANKS TIME DEPOSITS - OVER 1 MONTH UNTIL 3 MONTHS	MMDP	MMRFSF	67820285	6,7825E+14	ING BANK NV HONG KONG BRANCH	2016-12-07 00:00:00.000	2017-02-28 00:00:00.000	2017-02-28 00:00:00.000	Liabilities	USD	8978057,7	1,24806	59	2	0	0	59	83	2	1	2	LIVE DATA	0	3M USD LIBOR	V	-18364	-18364	0	0	0	0
392	BANK	BANKS TIME DEPOSITS - INTERGROUP - OVER 1 MONTH UNTIL 3 MONTHS	DLD	DD	67820000	2003428	CHINA CONSTRUCTION BANK H.O.	2016-11-30 00:00:00.000	2017-02-28 00:00:00.000	2017-02-28 00:00:00.000	Liabilities	USD	28454898,99	1,65	59	2	0	0	59	90	3	1	2	LIVE DATA	0	3M USD LIBOR	V	-76946,79	-76946,79	0	0	0	0
393	BANK	BANKS TIME DEPOSITS - INTERGROUP - OVER 1 MONTH UNTIL 3 MONTHS	DLD	DD	67820000	2003433	CHINA CONSTRUCTION BANK H.O.	2016-12-01 00:00:00.000	2017-03-01 00:00:00.000	2017-03-01 00:00:00.000	Liabilities	USD	47424831,64	1,69	60	3	0	0	60	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	-133579,94	-133579,94	0	0	0	0
394	BANK	PREFINANCINGS	CLDD	EALLC	67820076	6,7811E+14	CCB NINGBO BRANCH INT.DEPT.	2016-12-12 00:00:00.000	2017-03-06 00:00:00.000	2017-03-06 00:00:00.000	Assets	USD	-99302,85	2,0565	65	3	0	0	65	84	3	1	3	LIVE DATA	0	3M USD LIBOR	V	368,72	368,72	0	0	0	0
395	BANK	FORFAITING + FACTORING IC	CLDL	FORFTIB	67820063	6,7811E+14	CCB SHENZHEN	2016-12-06 00:00:00.000	2017-03-06 00:00:00.000	2017-03-06 00:00:00.000	Assets	USD	-1602959,31	1,94639	65	3	0	0	65	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	5633,3	5633,3	0	0	0	0
396	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-12-06 00:00:00.000	2017-03-06 00:00:00.000	2017-03-06 00:00:00.000	Assets	USD	-2793246,29	2,04639	65	3	0	0	65	90	3	1	3	LIVE DATA	0	3M USD LIBOR	V	10320,68	10320,68	0	0	0	0
397	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-11-15 00:00:00.000	2017-02-06 00:00:00.000	2017-02-06 00:00:00.000	Assets	USD	-234181,92	1,50567	37	2	0	0	37	83	3	1	2	LIVE DATA	0	3M USD LIBOR	V	362,4	362,4	0	0	0	0
398	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-11-22 00:00:00.000	2017-02-06 00:00:00.000	2017-02-06 00:00:00.000	Assets	USD	-117983,5	1,61622	37	2	0	0	37	76	3	1	2	LIVE DATA	0	3M USD LIBOR	V	195,98	195,98	0	0	0	0
399	BANK	PREFINANCINGS	CLDD	EALLC	67820063	6,7811E+14	CCB SHENZHEN	2016-11-15 00:00:00.000	2017-02-07 00:00:00.000	2017-02-07 00:00:00.000	Assets	USD	-196575,93	1,50567	38	2	0	0	38	84	3	1	2	LIVE DATA	0	3M USD LIBOR	V	312,42	312,42	0	0	0	0
400	BANK	PREFINANCINGS	CLDD	FTBRDD	67820077	6,7811E+14	CCB DALIAN BRANCH	2016-11-09 00:00:00.000	2017-02-07 00:00:00.000	2017-02-07 00:00:00.000	Assets	USD	-3052098,82	1,38678	38	2	0	0	38	90	3	1	2	LIVE DATA	0	3M USD LIBOR	V	4467,73	4467,73	0	0	0	0
